departure_time,trip_id,route_id,service_id,trip_headsign,route_long_name
10:53,128203_11407_20251002,16_16021_1_20251002,3,桜町バスターミナル,F1-1：東熊本第二病院前→供合～子飼→桜町バスターミナル
10:53,128204_13785_20251002,16_16021_1_20251002,4,桜町バスターミナル,F1-1：東熊本第二病院前→供合～子飼→桜町バスターミナル
10:53,128205_16174_20251002,16_16021_1_20251002,5,桜町バスターミナル,F1-1：東熊本第二病院前→供合～子飼→桜町バスターミナル
10:53,128201_6628_20251002,16_16021_1_20251002,1,桜町バスターミナル,F1-1：東熊本第二病院前→供合～子飼→桜町バスターミナル
10:56,128207_4614_20251002,12_12081_1_20251002,7,桜町バスターミナル,E3-5：吹田団地→三里木～子飼→桜町バスターミナル
10:56,128206_2843_20251002,13_13251_1_20251002,6,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
10:58,128205_16144_20251002,13_13261_1_20251002,5,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
10:58,128202_8987_20251002,13_13261_1_20251002,2,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
10:58,128204_13755_20251002,13_13261_1_20251002,4,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
10:58,128203_11377_20251002,13_13261_1_20251002,3,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
10:58,128201_6598_20251002,13_13261_1_20251002,1,熊本駅前,E3-2：光の森産交→ゆめタウン～子飼→熊本駅前
11:02,8_312000426_20251001,4008_3702_2_20251001,7,上熊本駅前,F4-1：東本町→京塚→渡瀬→子飼→上熊本駅
11:06,128205_16061_20251002,13_13211_1_20251002,5,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:06,128202_8904_20251002,13_13211_1_20251002,2,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:06,128201_6515_20251002,13_13211_1_20251002,1,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:06,128203_11294_20251002,13_13211_1_20251002,3,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:06,128204_13672_20251002,13_13211_1_20251002,4,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:07,128206_2776_20251002,13_13211_1_20251002,6,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:09,128504_13565_20251002,7_7041_1_20251002,4,アクアドーム,F2-1/S4-1：小山団地→子飼～野口→アクアドーム
11:09,128501_6408_20251002,7_7041_1_20251002,1,アクアドーム,F2-1/S4-1：小山団地→子飼～野口→アクアドーム
11:09,128505_15954_20251002,7_7041_1_20251002,5,アクアドーム,F2-1/S4-1：小山団地→子飼～野口→アクアドーム
11:09,128502_8797_20251002,7_7041_1_20251002,2,アクアドーム,F2-1/S4-1：小山団地→子飼～野口→アクアドーム
11:09,128503_11187_20251002,7_7041_1_20251002,3,アクアドーム,F2-1/S4-1：小山団地→子飼～野口→アクアドーム
11:10,2_112001730_20251001,4008_3732_2_20251001,0,上熊本駅前,F4-2：東本町→熊本市民病院→京塚→渡瀬→子飼→上熊本駅
11:11,127106_2679_20251002,7_7041_1_20251002,6,アクアドーム,F2-1/S4-1：小山団地→子飼～野口→アクアドーム
11:15,128207_4652_20251002,13_13231_1_20251002,7,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
11:15,128206_2809_20251002,13_13231_1_20251002,6,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
11:16,7_311000040_20251001,4001_1001_1_20251001,7,熊本駅前,O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅
11:17,128203_11330_20251002,13_13231_1_20251002,3,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
11:17,128204_13708_20251002,13_13231_1_20251002,4,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
11:17,128201_6551_20251002,13_13231_1_20251002,1,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
11:17,128205_16097_20251002,13_13231_1_20251002,5,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
11:17,128202_8940_20251002,13_13231_1_20251002,2,熊本駅前,E3-3：光の森産交→武蔵ヶ丘～子飼→熊本駅前
11:20,128203_11440_20251002,16_16111_1_20251002,3,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:20,128201_6661_20251002,16_16111_1_20251002,1,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:20,128205_16207_20251002,16_16111_1_20251002,5,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:20,128204_13818_20251002,16_16111_1_20251002,4,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:20,128202_9050_20251002,16_16111_1_20251002,2,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:22,128207_4733_20251002,16_16111_1_20251002,7,桜町バスターミナル,F1-2：光の森産交→供合～子飼→桜町バスターミナル
11:22,128206_2862_20251002,16_16021_1_20251002,6,桜町バスターミナル,F1-1：東熊本第二病院前→供合～子飼→桜町バスターミナル
11:22,1_111000046_20251001,4001_1001_1_20251001,0,熊本駅前,O2-0：熊本駅→本荘町→上熊本駅→新町→熊本駅
11:25,128207_4686_20251002,13_13251_1_20251002,7,桜町バスターミナル,E3-2：光の森産交→ゆめタウン～子飼→桜町バスターミナル
11:36,128202_8905_20251002,13_13211_1_20251002,2,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:36,128205_16062_20251002,13_13211_1_20251002,5,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:36,128204_13673_20251002,13_13211_1_20251002,4,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:36,128201_6516_20251002,13_13211_1_20251002,1,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:36,128203_11295_20251002,13_13211_1_20251002,3,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:37,128206_2777_20251002,13_13211_1_20251002,6,桜町バスターミナル,E3-4：光の森産交→三里木～子飼→桜町バスターミナル
11:40,128207_4943_20251002,27_27081_1_20251002,7,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
11:41,128506_2629_20251002,7_7011_1_20251002,6,川口二丁,F2-3/S4-3：戸島→子飼～野口→川口
11:42,127107_4532_20251002,7_7021_1_20251002,7,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
11:42,3_112000957_20251001,4008_3711_1_20251001,0,上熊本駅前,F4-1：昭和町→京塚→渡瀬→子飼→上熊本駅
11:44,127101_6368_20251002,7_7021_1_20251002,1,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
11:44,127105_15914_20251002,7_7021_1_20251002,5,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
11:44,127104_13525_20251002,7_7021_1_20251002,4,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
11:44,127103_11147_20251002,7_7021_1_20251002,3,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
11:44,127102_8757_20251002,7_7021_1_20251002,2,川口二丁,F2-1/S4-3：小山団地→子飼～野口→川口
11:47,128201_6947_20251002,27_27081_1_20251002,1,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
11:47,128202_9336_20251002,27_27081_1_20251002,2,西部車庫,E2-1/S3-0：楠団地→二里木～蓮台寺→西部車庫
