departure_time,trip_id,route_id,service_id,trip_headsign,route_long_name
13:20,727406_4148_20251002,154_154120_1_20251002,6,八代産交,４：松橋駅→宮原～八代駅→八代産交
13:40,727405_17804_20251002,154_154110_1_20251002,5,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
13:40,727404_15414_20251002,154_154110_1_20251002,4,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
13:40,727402_10647_20251002,154_154110_1_20251002,2,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
13:40,727401_8257_20251002,154_154110_1_20251002,1,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
13:40,727403_13025_20251002,154_154110_1_20251002,3,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
13:50,727406_3802_20251002,100_100140_1_20251002,6,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
13:52,727403_12604_20251002,100_100140_1_20251002,3,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
13:52,727404_14984_20251002,100_100140_1_20251002,4,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
13:52,727402_10214_20251002,100_100140_1_20251002,2,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
13:52,727405_17371_20251002,100_100140_1_20251002,5,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
13:52,727401_7827_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
14:10,727405_17826_20251002,154_154120_1_20251002,5,八代産交,４：松橋駅→宮原～八代駅→八代産交
14:10,727404_15436_20251002,154_154120_1_20251002,4,八代産交,４：松橋駅→宮原～八代駅→八代産交
14:10,727401_8279_20251002,154_154120_1_20251002,1,八代産交,４：松橋駅→宮原～八代駅→八代産交
14:10,727403_13047_20251002,154_154120_1_20251002,3,八代産交,４：松橋駅→宮原～八代駅→八代産交
14:10,727402_10669_20251002,154_154120_1_20251002,2,八代産交,４：松橋駅→宮原～八代駅→八代産交
14:30,727406_4149_20251002,154_154120_1_20251002,6,八代産交,４：松橋駅→宮原～八代駅→八代産交
14:30,727407_5574_20251002,100_100140_1_20251002,7,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
14:30,727407_5908_20251002,154_154120_1_20251002,7,八代産交,４：松橋駅→宮原～八代駅→八代産交
15:00,727407_5895_20251002,154_154110_1_20251002,7,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
15:00,727406_4136_20251002,154_154110_1_20251002,6,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
15:06,727405_17372_20251002,100_100140_1_20251002,5,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
15:06,727404_14985_20251002,100_100140_1_20251002,4,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
15:06,727403_12605_20251002,100_100140_1_20251002,3,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
15:06,727402_10215_20251002,100_100140_1_20251002,2,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
15:06,727401_7828_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
15:10,1_1254_20251001,15_17022_1_20251001,8,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
